"business_id","stars","longitude","latitude","state","city","'Mexican'","'Restaurants'","'Coffee & Tea'","'Food'","'Pizza'","'Chinese'","Alcohol","Ambience.romantic","Ambience.intimate","Ambience.classy","Ambience.hipster","Ambience.divey","Ambience.touristy","Ambience.trendy","Ambience.upscale","Ambience.casual","BYOB","BYOBCorkage","BikeParking","BusinessAcceptsCreditCards","BusinessParking.garage","BusinessParking.street","BusinessParking.validated","BusinessParking.lot","BusinessParking.valet","Caters","GoodForKids","GoodForMeal.dessert","GoodForMeal.latenight","GoodForMeal.lunch","GoodForMeal.dinner","GoodForMeal.breakfast","GoodForMeal.brunch","HasTV","NoiseLevel","OutdoorSeating","RestaurantsAttire","RestaurantsDelivery","RestaurantsGoodForGroups","RestaurantsPriceRange2","RestaurantsReservations","RestaurantsTableService","RestaurantsTakeOut","WheelchairAccessible","WiFi","NA_Column","RestaurantsCounterService","ByAppointmentOnly","DogsAllowed","BusinessAcceptsBitcoin","Corkage","DietaryRestrictions.dairy.free","DietaryRestrictions.gluten.free","DietaryRestrictions.vegan","DietaryRestrictions.kosher","DietaryRestrictions.halal","DietaryRestrictions.soy.free","DietaryRestrictions.vegetarian","Open24Hours"
"Ja4stXdNYr39u5CZHMNtjw",3.5,-111.9253409,33.4943986,"AZ","Scottsdale",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"full_bar","False","False","False","False","False","False","False","False","True","False","no","True","True","False","True","False","False","False","True","True","False","False","True","True","False","False","True","average","True","casual","False","True","2","True","True","True","True","free",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gi48Z9ZPlEUgQU1xo_7Hjw",3,-89.3964973,43.0749004,"WI","Madison",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True","True","True","False","False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,"1",NA,NA,"True","True","free",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X02YNLa3Iofzwv5Le6QeYQ",4,-80.737783,35.2966598,"NC","Charlotte",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,"False","False","2","False",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4z2evNWOBm7b4-7Td0392A",3,-111.9106619,33.3628465,"AZ","Tempe",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True","True","False","False","False","True","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,"1",NA,NA,"True","True","free",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kUntNQ5P9IrRzEoHdRxV-w",3.5,-115.2677588,36.271169,"NV","Las Vegas",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"beer_and_wine","False","False","False","False","False","False","False","False","True",NA,NA,NA,"True","False","False","False","True","False","True","True","False","False","True","False","False","False","True","average","True","casual","True","True","2","False","True","True","True","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZYof0WYlilJ3pgWNSgmYKQ",3.5,-79.987978,40.438453,"PA","Pittsburgh",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"full_bar","False","False","False","False","False","False","False","False","True",NA,NA,"True","True","False","True","False","False","False","True","True","False","True","True","True","False","False","True","average","False","casual","True","True","2","False","False","True",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-vb_yx5QnIhpXUIdPVD2og",3.5,-115.2051145,36.1948912,"NV","Las Vegas",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"beer_and_wine","False","False","False","False","False","False","False","False","True",NA,NA,NA,"True","False","False","False","True","False","False","True","False","False","True","True","False","False","False","quiet","False","casual","True","True","1","False","True","True","True","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3rkxTx8DoZSl7_FryhXCVQ",3.5,-115.1377251,36.1041299,"NV","Las Vegas",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"none","False","False","False","False","False","False","False","False","True",NA,NA,NA,"True","False","False","False","True","False","False","True","False","False","True","True","False","False","False","quiet","False","casual",NA,"True","2","False","True","True",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XaTts7L8g57_odPEFuwkOw",3.5,-79.8854317,40.4426201,"PA","Pittsburgh",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"prZHC3I8JUI98n9iJVvDbw",3.5,-79.957545,40.4408753,"PA","Pittsburgh",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True","True","False","True","False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,"2",NA,NA,"True",NA,"free",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
